"years","months","month_num","quarter","region","warehouse_region","category","subcategory","brand","orders","units_sold","revenue","stokout_rate","shipping_delay_rate","avg_lead_time","total_returns","return_rate","return_reason"
2021,April,4,Q2,Central,Central,Skincare,Cleanser,CeraVe,7,9,3011000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Cleanser,CeraVe,9,11,3705000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Cleanser,La Roche-Posay,10,14,5390000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Cleanser,La Roche-Posay,7,9,3432000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Cleanser,La Roche-Posay,5,7,2663000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Cleanser,La Roche-Posay,2,3,1153000,0,0,8,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Cleanser,La Roche-Posay,1,1,385000,0,0,6,1,1.00000000000000000000,Allergic reaction
2021,April,4,Q2,Central,Central,Skincare,Cleanser,La Roche-Posay,1,1,385000,0,0,5,1,1.00000000000000000000,Changed mind
2021,April,4,Q2,Central,Central,Skincare,Cleanser,Senka,11,16,1943000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Cleanser,Senka,6,10,1215000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Cleanser,Senka,1,1,122000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Cleanser,Senka,1,2,244000,0,0,8,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Cleanser,Senka,1,1,121000,0,1,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Cleanser,Simple,9,14,1795000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Cleanser,Simple,4,4,516000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Cleanser,Simple,2,5,660000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Cleanser,Simple,1,1,130000,0,0,8,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Lip Care,Laneige,1,4,2020000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Lip Care,Vaseline,5,9,823000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Lip Care,Vaseline,1,1,93000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Makeup Remover,Bifesta,4,5,764000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Makeup Remover,Bifesta,1,1,146000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Makeup Remover,L’Oréal Paris,3,5,629000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Makeup Remover,L’Oréal Paris,1,1,121000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Makeup Remover,L’Oréal Paris,1,1,120000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Makeup Remover,L’Oréal Paris,2,3,376000,0,0,8,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Mask,Innisfree,1,3,996000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Mask,Innisfree,1,1,333000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Mask,Innisfree,1,1,333000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Mask,Innisfree,1,1,333000,0,0,8,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Micellar Water,Bioderma,6,10,4451000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Micellar Water,Bioderma,2,5,2230000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Micellar Water,Bioderma,1,1,421000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Micellar Water,Bioderma,1,1,445000,0,1,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Micellar Water,Garnier,3,4,699000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Micellar Water,Garnier,2,2,350000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Micellar Water,Garnier,1,1,174000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Micellar Water,Garnier,1,1,163000,0,0,5,1,1.00000000000000000000,Shade mismatch
2021,April,4,Q2,Central,Central,Skincare,Micellar Water,L’Oréal Paris,8,12,2208000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Micellar Water,L’Oréal Paris,3,5,903000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Micellar Water,L’Oréal Paris,1,2,350000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Micellar Water,L’Oréal Paris,1,3,555000,0,0,8,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Moisturizer,Bioderma,1,3,1260000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Moisturizer,Bioderma,3,3,1252000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Moisturizer,Bioderma,2,2,832000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Moisturizer,CeraVe,13,17,7589000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Moisturizer,CeraVe,5,5,2243000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Moisturizer,CeraVe,4,4,1783000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Moisturizer,CeraVe,2,3,1368000,0,0,8,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Moisturizer,CeraVe,1,1,453000,0,0,5,1,1.00000000000000000000,Shade mismatch
2021,April,4,Q2,Central,Central,Skincare,Moisturizer,Kiehl's,2,3,2871000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Moisturizer,Kiehl's,2,2,1911000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Moisturizer,Neutrogena,2,6,2338000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Moisturizer,Neutrogena,2,3,1169000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Moisturizer,Neutrogena,2,2,778000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Serum,L’Oréal Paris,5,7,3132000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Serum,L’Oréal Paris,4,8,3579000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Serum,L’Oréal Paris,1,1,445000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Serum,Rohto,3,3,817000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Serum,Rohto,2,3,817000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Serum,Skin1004,4,4,1756000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Serum,Skin1004,4,9,1754000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Serum,Some By Mi,3,3,1167000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Serum,Some By Mi,5,7,2731000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Serum,Some By Mi,3,3,1149000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Serum,The Ordinary,6,8,2488000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Serum,The Ordinary,5,6,1861000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Serum,The Ordinary,2,2,624000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Serum,The Ordinary,2,2,620000,0,0,8,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Serum,The Ordinary,1,1,310000,0,0,8,1,1.00000000000000000000,Damaged package
2021,April,4,Q2,Central,Central,Skincare,Serum,Vichy,4,4,3475000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Serum,Vichy,6,8,6867000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Sheet Mask,Mediheal,1,4,136000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Sunscreen,Anessa,7,13,8850000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Sunscreen,Anessa,3,5,3315000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Sunscreen,Anessa,3,3,2039000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Sunscreen,Anessa,1,2,1364000,0,0,8,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Sunscreen,Anessa,1,1,685000,0,0,5,1,1.00000000000000000000,Shade mismatch
2021,April,4,Q2,Central,Central,Skincare,Sunscreen,Bioré,10,17,4103000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Sunscreen,Bioré,6,12,2916000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Sunscreen,Bioré,3,5,1220000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Sunscreen,Bioré,1,1,244000,0,0,8,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Sunscreen,La Roche-Posay,8,12,6121000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Sunscreen,La Roche-Posay,8,10,5101000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Sunscreen,La Roche-Posay,3,3,1502000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Sunscreen,La Roche-Posay,1,1,514000,0,0,8,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Sunscreen,La Roche-Posay,1,1,512000,0,1,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Sunscreen,La Roche-Posay,1,1,512000,1,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Sunscreen,La Roche-Posay,1,3,1527000,0,0,6,1,0.33333333333333333333,Damaged package
2021,April,4,Q2,Central,Central,Skincare,Sunscreen,Skin Aqua,6,9,1692000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Sunscreen,Skin Aqua,6,9,1940000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Sunscreen,Skin Aqua,5,13,2788000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Sunscreen,Skin Aqua,1,1,213000,0,0,8,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Sunscreen,Sunplay,10,17,3054000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Sunscreen,Sunplay,3,4,736000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Sunscreen,Sunplay,5,6,1099000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Sunscreen,Sunplay,1,1,183000,0,0,8,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Sunscreen,Sunplay,1,1,174000,0,0,7,1,1.00000000000000000000,Wrong item sent
2021,April,4,Q2,Central,Central,Skincare,Toner,Kiehl's,2,2,2243000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Toner,Kiehl's,1,1,1116000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Toner,Simple,2,3,462000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Toner,Simple,3,3,466000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,Central,Skincare,Toner,Simple,3,5,778000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,North,Makeup,Eyeliner,Judydoll,1,1,156000,0,0,4,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,North,Makeup,Foundation,L’Oréal Paris,1,1,319000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,North,Makeup,Lip Balm,Dior,1,1,1019000,0,0,4,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,North,Makeup,Lipstick,Maybelline,1,1,233000,1,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,North,Skincare,Acne Care,SVR,1,2,878000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,North,Skincare,Cleanser,CeraVe,1,1,338000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,North,Skincare,Lip Care,Vaseline,1,1,88000,0,0,4,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,North,Skincare,Lip Care,Vaseline,1,1,92000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,North,Skincare,Makeup Remover,L’Oréal Paris,1,1,125000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,North,Skincare,Makeup Remover,L’Oréal Paris,1,3,378000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,North,Skincare,Micellar Water,Bioderma,1,1,445000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,North,Skincare,Moisturizer,CeraVe,2,2,906000,0,0,4,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,North,Skincare,Moisturizer,CeraVe,1,1,456000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,North,Skincare,Moisturizer,Kiehl's,2,4,3813000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,North,Skincare,Serum,L’Oréal Paris,1,2,900000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,North,Skincare,Serum,Some By Mi,1,2,750000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,North,Skincare,Serum,Vichy,1,1,863000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,North,Skincare,Sunscreen,Anessa,1,1,662000,0,0,4,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,North,Skincare,Sunscreen,Anessa,3,4,2724000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,North,Skincare,Sunscreen,Bioré,1,4,968000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,North,Skincare,Sunscreen,La Roche-Posay,1,2,1018000,0,0,4,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,North,Skincare,Sunscreen,La Roche-Posay,1,1,509000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,South,Makeup,Foundation,L’Oréal Paris,1,1,319000,0,0,4,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,South,Makeup,Lip Tint,rom&nd,1,5,1060000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,South,Makeup,Mascara,Maybelline,1,1,251000,0,0,3,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,South,Skincare,Acne Care,La Roche-Posay,1,2,960000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,South,Skincare,Cleanser,Senka,1,2,242000,0,0,4,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,South,Skincare,Cleanser,Simple,1,1,132000,0,0,3,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,South,Skincare,Cleanser,Simple,1,1,132000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,South,Skincare,Lip Care,Vaseline,1,1,93000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,South,Skincare,Micellar Water,Garnier,1,1,174000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,South,Skincare,Micellar Water,L’Oréal Paris,1,1,185000,0,0,4,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,South,Skincare,Moisturizer,Bioderma,1,2,832000,0,1,4,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,South,Skincare,Moisturizer,CeraVe,1,1,456000,0,0,4,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,South,Skincare,Serum,L’Oréal Paris,1,3,1350000,0,0,4,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,South,Skincare,Serum,Skin1004,2,2,871000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,South,Skincare,Serum,Some By Mi,1,3,1167000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,South,Skincare,Serum,The Ordinary,1,1,294000,0,0,3,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,South,Skincare,Serum,Vichy,1,1,872000,0,0,3,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,South,Skincare,Serum,Vichy,1,1,872000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,South,Skincare,Sheet Mask,Mediheal,1,4,136000,0,0,3,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,South,Skincare,Sunscreen,Anessa,1,1,682000,0,0,3,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,South,Skincare,Sunscreen,Anessa,1,1,682000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,South,Skincare,Sunscreen,Bioré,1,2,488000,0,0,3,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,South,Skincare,Sunscreen,Skin Aqua,1,1,204000,0,0,3,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,South,Skincare,Sunscreen,Sunplay,2,3,551000,0,0,3,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,South,Skincare,Sunscreen,Sunplay,2,2,368000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,Central,South,Skincare,Sunscreen,Sunplay,1,3,549000,0,1,3,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,North,Central,Body Care,Body Serum,Nivea,1,1,175000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,North,Central,Body Care,Soap,Dove,1,2,94000,0,0,8,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,North,Central,Makeup,Cushion,Laneige,1,1,863000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,North,Central,Makeup,Foundation,L’Oréal Paris,1,1,319000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,North,Central,Makeup,Lip Tint,Black Rouge,1,1,191000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,North,Central,Makeup,Mascara,Kiss Me,1,2,638000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,North,Central,Skincare,Cleanser,CeraVe,4,4,1345000,0,0,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,North,Central,Skincare,Cleanser,CeraVe,2,3,1006000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,North,Central,Skincare,Cleanser,CeraVe,1,1,338000,0,0,7,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,North,Central,Skincare,Cleanser,CeraVe,1,1,336000,0,0,8,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,North,Central,Skincare,Cleanser,CeraVe,2,2,671000,0,1,5,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,North,Central,Skincare,Cleanser,Simple,1,1,123000,0,0,6,0,0.00000000000000000000,Unspecified
2021,April,4,Q2,North,Central,Skincare,Lip Care,Laneige,1,3,1530000,0,0,5,0,0.00000000000000000000,Unspecified
